original_title;english_title;rating;year;film_poster;genres
 Trois couleurs: Rouge;Three Colours: Red;8.1;1994;;
Iron Man;Iron Man;7.9;2008;;
 La leggenda del pianista sull'oceano;The Legend of 1900;8.0;1998;;
 Le scaphandre et le papillon;The Diving Bell and the Butterfly;8.0;2007;;
 Adams æbler;Adam's Apples;7.7;2005;;
Chocolat;Chocolat;7.2;2000;;
Samsara;Samsara;8.4;2011;;
The Fugitive;The Fugitive;7.8;1993;;
Nie ma mocnych;Nie ma mocnych;7.5;1974;;
Dlug;Dlug;7.8;1999;;
The Butterfly Effect;The Butterfly Effect;7.6;2004;;
Stalker;Stalker;8.0;1979;;
 Poszukiwany, poszukiwana;Man - Woman Wanted;7.5;1973;;
The Blind Side;The Blind Side;7.6;2009;;
The Mission;The Mission;7.4;1986;;
Anastasia;Anastasia;7.1;1997;;
 Le sel de la terre;The Salt of the Earth;7.5;2015;;
 Mandariinid;Tangerines;8.1;2013;;
The Lord of the Rings: The War of the Rohirrim;The Lord of the Rings: The War of the Rohirrim;6.5;2024;;
 Chce sie zyc;Life Feels Good;7.6;2013;;
 Wolyn;Hatred;7.5;2016;;
 Zootopia;Zootropolis;8.0;2016;;
Harry Potter and the Half-Blood Prince;Harry Potter and the Half-Blood Prince;7.6;2009;;
Breakfast at Tiffany's;Breakfast at Tiffany's;7.6;1961;;
Training Day;Training Day;7.8;2001;;
Nie lubie poniedzialku;Nie lubie poniedzialku;7.5;1971;;
 Nóz w wodzie;Knife in the Water;7.4;1962;;
The Boondock Saints;The Boondock Saints;7.6;1999;;
 Per un pugno di dollari;A Fistful of Dollars;7.9;1964;;
 Mulholland Dr.;Mulholland Drive;7.9;2001;;
Die Abtei des Verbrechens: Umberto Ecos 'Der Name der Rose' wird verfilmt;Die Abtei des Verbrechens: Umberto Ecos 'Der Name der Rose' wird verfilmt;6.4;1986;;
The Phantom of the Opera;The Phantom of the Opera;7.2;2004;;
 Perfetti sconosciuti;Perfect Strangers;7.7;2016;;
 Vabank;Hit the Bank;7.9;1981;;
 Adams æbler;Adam's Apples;7.7;2005;;
Harry Potter and the Prisoner of Azkaban;Harry Potter and the Prisoner of Azkaban;7.9;2004;;
 9 rota;9th Company;7.1;2005;;
The Piano Lesson;The Piano Lesson;6.2;2024;;
 Gadajace glowy;Talking Heads;8.0;1980;;
 Pora umierac;Time to Die;7.5;2007;;
Call Me by Your Name;Call Me by Your Name;7.8;2017;;
 Kôkaku Kidôtai;Ghost in the Shell;7.9;1995;;
Dlug;Dlug;7.8;1999;;
The Bone Collector;The Bone Collector;6.7;1999;;
 Rekopis znaleziony w Saragossie;The Saragossa Manuscript;7.8;1965;;
Scent of a Woman;Scent of a Woman;8.0;1992;;
 Trois couleurs: Rouge;Three Colours: Red;8.1;1994;;
Man on Fire;Man on Fire;7.7;2004;;
Sweeney Todd: The Demon Barber of Fleet Street;Sweeney Todd: The Demon Barber of Fleet Street;7.3;2007;;
 Nuovo Cinema Paradiso;Cinema Paradiso;8.5;1988;;
original_title;english_title;rating;year;film_poster;genres
 Adams æbler;Adam's Apples;7.7;2005;;
 Nóz w wodzie;Knife in the Water;7.4;1962;;
Bogowie;Bogowie;7.6;2014;;
 Hotaru no haka;Grave of the Fireflies;8.5;1988;;
 Krótki film o milosci;A Short Film About Love;8.1;1988;;
Legendy Polskie Twardowsky;Legendy Polskie Twardowsky;7.1;2015;;
Green Street;Green Street;7.4;2005;;
 Le sel de la terre;The Salt of the Earth;7.5;2015;;
 Le scaphandre et le papillon;The Diving Bell and the Butterfly;8.0;2007;;
 Boze Cialo;Corpus Christi;7.7;2019;;
Madagascar;Madagascar;6.9;2005;;
 Trois couleurs: Blanc;Three Colors: White;7.6;1994;;
 Seksmisja;Sex Mission;7.5;1984;;
 Jak rozpetalem druga wojne swiatowa;How I Unleashed World War II;8.1;1970;;
Meet Joe Black;Meet Joe Black;7.2;1998;;
 Yedinci Kogustaki Mucize;Miracle in Cell No. 7;8.2;2019;;
The Fast and the Furious;The Fast and the Furious;6.8;2001;;
Lucky Number Slevin;Lucky Number Slevin;7.7;2006;;
Beauty and the Beast;Beauty and the Beast;7.1;2017;;
Dlug;Dlug;7.8;1999;;
 Mandariinid;Tangerines;8.1;2013;;
 Harry Potter and the Deathly Hallows - Part 1;Harry Potter and the Deathly Hallows: Part 1;7.7;2010;;
The Graduate;The Graduate;8.0;1967;;
Captain Phillips;Captain Phillips;7.8;2013;;
 So weit die Füße tragen;As Far as My Feet Will Carry Me;7.3;2001;;
Legends of the Fall;Legends of the Fall;7.5;1994;;
Falling Down;Falling Down;7.6;1993;;
Ondskan;Evil;7.7;2003;;
Kōkaku Kidōtai;Ghost in the Shell;7.9;1995;;
Persona;Persona;8.0;1966;;
Philadelphia;Philadelphia;7.7;1993;;
Vincent;Vincent;8.2;1982;;
Tato;Tato;7.1;1995;;
